Date,Ticker,Type,Price,Shares,Cash_after
2023-11-15 05:00:00,AON,BUY,327.8895627217145,4.0,70836.47969687017
2023-11-15 05:00:00,AEE,BUY,72.40936891087563,19.0,69460.70168756353
2023-11-15 05:00:00,BA,BUY,208.2100067138672,6.0,68211.44164728033
2023-11-15 05:00:00,AMCR,BUY,8.500635566202805,160.0,66851.33995668788
2023-11-16 05:00:00,AVY,BUY,182.09874248068692,7.0,65576.64875932307
2023-11-16 05:00:00,AMGN,BUY,258.10054029469626,5.0,64286.14605784959
2023-11-16 05:00:00,AWK,BUY,125.69553988840134,10.0,63029.19065896558
2023-11-17 05:00:00,ALLE,BUY,104.20707054033312,12.0,61778.70581248158
2023-11-17 05:00:00,ADSK,BUY,215.3000030517578,5.0,60702.20579722279
2023-11-17 05:00:00,ADI,BUY,176.7428240784427,6.0,59641.748852752135
2023-11-17 05:00:00,A,BUY,112.30139792438618,10.0,58518.73487350827
2023-11-20 05:00:00,AEE,SELL,72.04342988132983,19.0,59887.560041253535
2023-11-20 05:00:00,ABT,BUY,95.20990765492571,12.0,58745.04114939443
2023-11-21 05:00:00,AMGN,SELL,251.2174684391456,5.0,60001.128491590156
2023-11-24 05:00:00,AME,BUY,154.04909263209666,7.0,58922.78484316548
2023-11-24 05:00:00,APO,BUY,87.68835519913021,13.0,57782.836225576786
2023-11-27 05:00:00,ADM,BUY,69.31975741048831,16.0,56673.72010700897
2023-11-28 05:00:00,AXP,BUY,160.2541231064792,7.0,55551.94124526362
2023-11-28 05:00:00,AEE,BUY,72.65334346455833,15.0,54462.14109329524
2023-11-29 05:00:00,ARE,BUY,98.25570627429408,11.0,53381.32832427801
2023-12-08 05:00:00,ACGL,SELL,74.81669791892159,21.0,54952.47898057536
2023-12-11 05:00:00,ABBV,BUY,140.44569302763537,7.0,53969.35912938191
2023-12-11 05:00:00,AMGN,BUY,257.4851065139502,4.0,52939.41870332611
2023-12-13 05:00:00,AMD,SELL,137.97000122070312,14.0,54870.998720415955
2023-12-13 05:00:00,AVGO,SELL,104.15776425320698,22.0,57162.46953398651
2023-12-13 05:00:00,AVB,BUY,163.26026233319834,7.0,56019.647697654116
2023-12-14 05:00:00,AES,SELL,17.87226744118822,118.0,58128.57525571433
2023-12-14 05:00:00,BA,SELL,250.91000366210935,6.0,59634.035277686984
2023-12-14 05:00:00,ADP,BUY,231.41993531304496,5.0,58476.93560112176
2023-12-15 05:00:00,A,SELL,135.2188265252167,10.0,59829.12386637393
2023-12-15 05:00:00,ARE,SELL,119.69559121827828,11.0,61145.77536977499
2023-12-15 05:00:00,BAC,SELL,32.40166613776288,61.0,63122.277004178526
2023-12-18 05:00:00,AON,SELL,308.21460277242,4.0,64355.1354152682
2023-12-20 05:00:00,AEE,SELL,68.41930268825965,15.0,65381.4249555921
2023-12-27 05:00:00,ALB,BUY,148.22810356083565,8.0,64195.60012710541
2023-12-29 05:00:00,ADM,SELL,67.58677128618667,16.0,65276.9884676844
2024-01-02 05:00:00,APD,BUY,260.2651658149944,5.0,63975.66263860943
2024-01-05 05:00:00,ALB,SELL,131.03368121099172,8.0,65023.93208829736
2024-01-08 05:00:00,ADBE,SELL,567.8699951171875,3.0,66727.54207364892
2024-01-10 05:00:00,ALGN,BUY,277.0,4.0,65619.54207364892
2024-01-17 05:00:00,AMAT,SELL,150.71281087744154,10.0,67126.67018242333
2024-01-17 05:00:00,APD,SELL,246.6273363872163,5.0,68359.80686435942
2024-01-22 05:00:00,AWK,SELL,119.68367437954332,10.0,69556.64360815485
2024-01-22 05:00:00,AMAT,BUY,165.54686186741674,8.0,68232.26871321551
2024-01-24 05:00:00,AEP,SELL,73.07319017466149,25.0,70059.09846758205
2024-01-24 05:00:00,APH,SELL,49.83480109238765,45.0,72301.66451673949
2024-01-25 05:00:00,AMT,SELL,188.13307174890505,11.0,74371.12830597744
2024-01-25 05:00:00,ATO,SELL,106.73121167857052,13.0,75758.63405779886
2024-01-26 05:00:00,ADBE,BUY,620.7000122070312,2.0,74517.2340333848
