Ticker,EntryDate,ExitDate,EntryPrice,ExitPrice,Shares,RealizedPNL
APA,2024-03-18 04:00:00,2024-04-30 04:00:00,29.847223443415636,30.284352473671248,1.0,0.4371290302556119
AOS,2024-02-21 05:00:00,2024-05-01 04:00:00,77.35715434532912,80.49342421387632,253.0,793.4762767424422
ACGL,2024-01-29 05:00:00,2024-05-02 04:00:00,75.37772008107066,91.02951737514545,232.0,3631.2169722253493
ALGN,2024-01-10 05:00:00,2024-05-09 04:00:00,277.0,274.4100036621094,19.0,-49.209930419921875
AXON,2024-05-06 04:00:00,2024-05-16 04:00:00,322.0,293.6000061035156,6.0,-170.39996337890625
ADI,2024-05-01 04:00:00,2024-05-23 04:00:00,192.20389543704655,234.94404987687656,45.0,1923.3069497923502
ADM,2024-03-20 04:00:00,2024-05-29 04:00:00,57.710735663376646,57.66765458139943,6.0,-0.2584864918632803
ATO,2024-03-11 04:00:00,2024-05-29 04:00:00,111.97613289781238,108.16600498068796,19.0,-72.39243042536395
A,2024-05-15 04:00:00,2024-05-30 04:00:00,151.2470084781943,123.8643997982588,2.0,-54.765217359870974
ARE,2024-05-17 04:00:00,2024-05-31 04:00:00,114.61617335135443,107.91896611756545,2.0,-13.394414467577974
AMZN,2024-05-06 04:00:00,2024-06-03 04:00:00,186.27999877929688,177.6999969482422,5.0,-42.90000915527344
AEE,2024-03-13 04:00:00,2024-06-04 04:00:00,69.27654092062866,70.33616216242486,3.0,3.178863725388581
ALB,2024-05-08 04:00:00,2024-06-06 04:00:00,124.35590456631247,113.57147405673396,1.0,-10.784430509578513
ADP,2024-05-17 04:00:00,2024-06-07 04:00:00,242.32127322851045,241.18746441891105,2.0,-2.267617619198802
AIG,2024-05-02 04:00:00,2024-06-12 04:00:00,75.73057105074564,72.4581342753459,198.0,-647.9424815291485
APTV,2024-05-10 04:00:00,2024-06-12 04:00:00,83.69999694824219,76.9800033569336,33.0,-221.7597885131836
ADM,2024-06-11 04:00:00,2024-06-20 04:00:00,58.63053401727812,57.01938741555173,75.0,-120.8359951294792
ADM,2024-06-25 04:00:00,2024-06-26 04:00:00,59.02140357440536,57.49605622803152,6.0,-9.15208407824305
AEP,2024-04-26 04:00:00,2024-06-26 04:00:00,81.57812054228594,82.03700566935066,357.0,163.82199036210443
ADP,2024-06-13 04:00:00,2024-06-28 04:00:00,236.71047973632807,232.21735707412736,45.0,-202.1905197990317
AMCR,2024-05-06 04:00:00,2024-07-03 04:00:00,9.448863969740469,9.149162292480469,54.0,-16.183890572039992
AVY,2024-05-06 04:00:00,2024-07-03 04:00:00,215.89998026537268,209.73839552197643,34.0,-209.4938812754724
ATO,2024-06-21 04:00:00,2024-07-08 04:00:00,113.72492805696764,111.4799792623238,11.0,-24.694436741082313
ABBV,2024-06-21 04:00:00,2024-07-09 04:00:00,164.03660138627637,158.64154355324703,3.0,-16.185173499088023
APD,2024-05-06 04:00:00,2024-07-09 04:00:00,238.20261409513856,246.47817300175595,16.0,132.40894250587826
AWK,2024-05-01 04:00:00,2024-07-09 04:00:00,117.21194107249536,125.03966693553753,149.0,1166.3311535932821
AAPL,2024-05-16 04:00:00,2024-07-10 04:00:00,189.18508101005293,227.75311249906628,5.0,192.84015744506675
AMD,2024-05-30 04:00:00,2024-07-22 04:00:00,167.89999389648438,154.22999572753906,39.0,-533.1299285888672
AMP,2024-05-13 04:00:00,2024-07-22 04:00:00,426.2291986491499,404.8858988455724,3.0,-64.02989941073253
AOS,2024-07-17 04:00:00,2024-07-23 04:00:00,88.88968942300083,78.63729978713172,6.0,-61.514337815214645
ARE,2024-07-15 04:00:00,2024-07-25 04:00:00,117.26913426987116,107.1377494191274,9.0,-91.18246365669381
AMZN,2024-06-14 04:00:00,2024-07-26 04:00:00,183.0800018310547,180.38999938964844,29.0,-78.01007080078125
AFL,2024-04-30 04:00:00,2024-08-01 04:00:00,81.46982828643459,101.71962708500944,179.0,3624.713984944897
BA,2024-07-02 04:00:00,2024-08-05 04:00:00,186.33999633789065,162.52000427246094,68.0,-1619.7594604492206
APO,2024-05-15 04:00:00,2024-08-05 04:00:00,108.62815977048474,95.43524325180296,2.0,-26.385833037363568
AMT,2024-05-20 04:00:00,2024-08-05 04:00:00,184.6916706791013,222.58660479230048,1.0,37.894934113199184
APA,2024-07-17 04:00:00,2024-08-05 04:00:00,29.76189050019128,26.028016795102783,9.0,-33.60486334579649
ADM,2024-07-03 04:00:00,2024-08-06 04:00:00,59.45993787841113,55.57983556975296,120.0,-465.61227703898084
ADSK,2024-06-26 04:00:00,2024-08-08 04:00:00,240.4900054931641,236.1699981689453,62.0,-267.84045410156426
AXON,2024-07-10 04:00:00,2024-08-09 04:00:00,299.0,367.2699890136719,54.0,3686.5794067382812
